Parameter,Type,Min,Max,Default,Description
Age_Years_Bins,array of floats,0,125,[],"An array of bins representing the age of the person, in years, at the time they received the intervention (greater than or equal to the value of the bin, but less than the value of the next bin). If they are new to ART, then it is the age that they started ART. If they are changing their adherence, then it is the age at that time. This bin is used to select the second dimension of the **MortalityTable**. See [example](../json/campaign-artmortalitytable-age-years-bins.json)."
ART_Duration_Days_Bins,array of floats,0,3.40282e+38,[],"An array of bins representing the person’s duration on ART, in days (greater than or equal to the value of the bin, but less than the value of the next bin). Each value represents the outer dimension of the **MortalityTable**. See [example](../json/campaign-artmortalitytable-art-duration-days-bins.json)."
ART_Is_Active_Against_Mortality_And_Transmission,boolean,0,1,1,"If set to true (1), ART will suppress viral load and extend prognosis."
ART_Multiplier_On_Transmission_Prob_Per_Act,float,0,1,0.08,Multiplier acting on Base_Infectivity to determine the per-act transmission probability of a virally suppressed HIV+ individual.
CD4_Count_Bins,array of floats,0,1000,[],"An array of bins representing a person's CD4 count at the time they received the intervention (started ART or changed adherence). For each value in the array, there will be one value in the associated row in the **MortalityTable**.  A mortality rate will be selected from the table as follows:<br> <br> * Person’s CD4 is less than first value in array: Use first mortality rate<br> * Person’s CD4 is greater than the last value in the array: Use the last mortality rate<br> * Person’s CD4 is between two values: Use linear interpolation to find the mortality rate associated with the person’s CD4. See [example](../json/campaign-artmortalitytable-cd4-count-bins.json)."
Cost_To_Consumer,float,0,99999,1,Unit cost per drug (unamortized).
Days_To_Achieve_Viral_Suppression,float,0,3.40282e+38,183,The number of days after ART initiation over which infectiousness declines linearly until the **ART_Multiplier_On_Transmission_Prob_Per_Act** takes full effect.
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **IndividualProperty** key:value pairs that will prevent an intervention from being distributed, applied/updated. See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes."
Intervention_Name,string,NA,NA,ARTMortalityTable,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.
MortalityTable,array of floats,0,1,[],"Three-dimensional array of mortality rates used to determine the number of days until AIDS death. Dimensioned by the values specified in **ART_Duration_Days_Bins**, **Age_Years_Bins**, and **CD4_Count_Bins**. See [example](../json/campaign-artmortalitytable-mortalitytable.json)."
New_Property_Value,string,NA,NA,"""""","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is first applied/updated. See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one."
