Parameter,Type,Min,Max,Default,Description
Actual_IndividualIntervention_Config,json object,NA,NA,NA,The configuration of an actual individual intervention sought. Selects a class for the intervention and configures the parameters specific for that intervention class. See [example](../json/campaign-birthtriggerediv-actual-individualintervention-config.json).
Demographic_Coverage,float,0,1,1,The fraction of individuals in the target demographic that will receive this intervention.
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **NodeProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to nodes with these values). See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes."
Duration,float,-1,3.40282e+38,-1,"The number of days to continue this intervention. <br> <br> .. Note::<br> <br> For **BirthTriggeredIV**, specifying a value of -1 results in indefinite persistence of the birth-triggered intervention."
Intervention_Name,string,NA,NA,BirthTriggeredIV,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.
New_Property_Value,string,NA,NA,"""""",An optional **NodeProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.
Property_Restrictions,array of json objects,NA,NA,NA,"A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.<br> <br> To specify AND and OR combinations of key:value pairs, use **Property_Restrictions_Within_Node**. You cannot use both of these parameters in the same event coordinator. See [example](../json/common-property-restrictions.json)."
Property_Restrictions_Within_Node,array of json objects,NA,NA,NA,"A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.<br> <br> This parameter allows you to specify AND and OR combinations of key:value pairs. You may specify individual property restrictions using either this parameter or **Property_Restrictions**, but not both. See [example](../json/common-property-restrictions-within-node.json)."
Target_Age_Max,float,0,9.3228e+35,9.3228e+35,"The upper end of ages targeted for an intervention, in years. Used when **Target_Demographic** is set to ExplicitAgeRanges or ExplicitAgeRangesAndGender."
Target_Age_Min,float,0,9.3228e+35,0,"The lower end of ages targeted for an intervention, in years. Used when **Target_Demographic** is set to ExplicitAgeRanges or ExplicitAgeRangesAndGender."
Target_Demographic,enum,NA,NA,Everyone,The target demographic group. Possible values are:<br> <br> * Everyone<br> * ExplicitAgeRanges<br> * ExplicitAgeRangesAndGender<br> * ExplicitGender<br> * ExplicitDiseaseState
Target_Gender,enum,NA,NA,All,Specifies the gender restriction for the intervention. Possible values are:<br> <br> * Male<br> * Female<br> * All
Target_Residents_Only,boolean,0,1,0,"When set to true (1), the intervention is only distributed to individuals that began the simulation in the node (i.e. those that claim the node as their residence)."
Targeting_Config,json object,NA,NA,NA,Be more selective of individuals by using the [Targeting_Config classes](parameter-campaign-targeting-config.md). See [example](../json/common-targeting-config.json).
