Parameter,Type,Min,Max,Default,Description
Cost_To_Consumer,float,0,999999,0,The cost of getting the contraceptive each time it is distributed.
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,boolean,0,1,0,"If a node's container has an intervention, set to true (1) to prevent it from receiving another copy of the intervention. Supported by all intervention classes."
Intervention_Name,string,NA,NA,FemaleContraceptive,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.
New_Property_Value,string,NA,NA,"""""","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is distributed. See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one."
Usage_Duration_Constant,float,0,3.40282e+38,6,Each instance will receive this constant/fixed value.
Usage_Duration_Distribution,enum,NA,NA,NOT_INITIALIZED,"For the distribution of each contraceptive, a randomly selected duration from this distribution will determine when the woman stops using the contracpetive.  This is independent of how long the contraceptive is effective. Possible values are:<br> <br> * NOT_INITIALIZED<br> * CONSTANT_DISTRIBUTION<br> * UNIFORM_DISTRIBUTION<br> * GAUSSIAN_DISTRIBUTION<br> * EXPONENTIAL_DISTRIBUTION<br> * POISSON_DISTRIBUTION<br> * LOG_NORMAL_DISTRIBUTION<br> * DUAL_CONSTANT_DISTRIBUTION<br> * WEIBULL_DISTRIBUTION<br> * DUAL_EXPONENTIAL_DISTRIBUTION"
Usage_Duration_Exponential,float,0,3.40282e+38,6,The mean for an exponential distribution.
Usage_Duration_Gaussian_Mean,float,0,3.40282e+38,6,The mean for a Gaussian distribution.
Usage_Duration_Gaussian_Std_Dev,float,1.17549e-38,3.40282e+38,1,The standard deviation for a Gaussian distribution.
Usage_Duration_Kappa,float,1.17549e-38,3.40282e+38,1,The shape value in a Weibull distribution.
Usage_Duration_Lambda,float,1.17549e-38,3.40282e+38,1,The scale value in a Weibull distribution.
Usage_Duration_Log_Normal_Mu,float,-3.40282e+38,3.40282e+38,6,The mean for a log-normal distribution.
Usage_Duration_Log_Normal_Sigma,float,-3.40282e+38,3.40282e+38,1,The width for a log-normal distribution.
Usage_Duration_Max,float,0,3.40282e+38,1,The maximum of the uniform distribution.
Usage_Duration_Mean_1,float,1.17549e-38,3.40282e+38,1,The mean of the first exponential distribution.
Usage_Duration_Mean_2,float,1.17549e-38,3.40282e+38,1,The mean of the second exponential distribution.
Usage_Duration_Min,float,0,3.40282e+38,0,The minimum of the uniform distribution.
Usage_Duration_Peak_2_Value,float,0,3.40282e+38,1,The value to assign to the remaining individuals.
Usage_Duration_Poisson_Mean,float,0,3.40282e+38,6,The mean for a Poisson distribution.
Usage_Duration_Proportion_0,float,0,1,1,The proportion of individuals to assign a value of zero.
Usage_Duration_Proportion_1,float,0,1,1,The proportion of individuals in the first exponential distribution.
Usage_Expiration_Event,string,NA,NA,"""""","When the woman stops using the contraceptive, this event will be broadcasted. See [Event list](parameter-campaign-event-list.md) for possible built-in values, or create custom values using **Custom_Individual_Events**."
Waning_Config,json object,NA,NA,NA,"A WaningEffect object used to control the efficacy of the contraceptive, typically over time. Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md). See [example](../json/common-waning-config.json)."
