Parameter,Type,Min,Max,Default,Description
Cost_To_Consumer,float,0,3.40282e+38,1,"The unit 'cost' assigned to the diagnostic. Setting **Cost_To_Consumer** to zero for all other interventions, and to a non-zero amount for one intervention, provides a convenient way to track the number of times the intervention has been applied in a simulation."
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes."
Female_Multiplier,float,0,3.40282e+38,1,"Allows for the sigmoid time-varying probability to be different for males and females, by multiplying the female probability by a constant value."
Intervention_Name,string,NA,NA,HIVSigmoidByYearAndSexDiagnostic,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.
Negative_Diagnosis_Event,enum,NA,NA,"""""","If an individual tests negative, this specifies an event that may trigger another intervention when the event occurs. See [Event list](parameter-campaign-event-list.md) for possible values."
New_Property_Value,string,NA,NA,"""""","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one."
Positive_Diagnosis_Event,enum,NA,NA,"""""","If the test is positive, this specifies an event that can trigger another intervention when the event occurs. See [Event list](parameter-campaign-event-list.md) for possible values."
Ramp_Max,float,-1,1,1,The right asymptote for the sigmoid trend over time.
Ramp_MidYear,float,-3.40282e+38,3.40282e+38,2000,The time of the infection point in the sigmoid trend over time.
Ramp_Min,float,-1,1,1,The left asymptote for the sigmoid trend over time.
Ramp_Rate,float,0,1,1,The slope of the inflection point in the sigmoid trend over time. A Rate of 1 sets the slope to a 25% change in probability per year.
