Parameter,Type,Min,Max,Default,Description
Boost_Acquire,float,0,1,0,"Specifies the boosting effect on acquisition immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine. This does not replace current immunity, it builds multiplicatively on top of it."
Boost_Mortality,float,0,1,0,"Specifies the boosting effect on mortality immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine. This does not replace current immunity, it builds multiplicatively on top of it."
Boost_Threshold_Acquire,float,0,1,0,Specifies how much acquisition immunity is required before the vaccine changes from a prime to a boost.
Boost_Threshold_Mortality,float,0,1,0,Specifies how much mortality immunity is required before the vaccine changes from a prime to a boost.
Boost_Threshold_Transmit,float,0,1,0,Specifies how much transmission immunity is required before the vaccine changes from a prime to a boost.
Boost_Transmit,float,0,1,0,"Specifies the boosting effect on transmission immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine. This does not replace current immunity, it builds multiplicatively on top of it."
Cost_To_Consumer,float,0,999999,1,The unit cost per vaccine (unamortized).
Prime_Acquire,float,0,1,0,Specifies the priming effect on acquisition immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine.
Prime_Mortality,float,0,1,0,Specifies the priming effect on mortality immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine.
Prime_Transmit,float,0,1,0,Specifies the priming effect on transmission immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine.
