Parameter,Type,Min,Max,Default,Description
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **NodeProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to nodes with these values). See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes."
Duration_At_Node_Constant,float,0,3.40282E+38,-1,"The duration at destination node, in days, to use for all families when **Duration_At_Node_Distribution** is set to CONSTANT_DISTRIBUTION."
Duration_At_Node_Distribution,enum,NA,NA,NOT_INITIALIZED,"The distribution type to use for assigning the duration of time an individual or family spends at a destination node after intervention-based migration. Each assigned value is a random draw from the distribution.<br> <br> Possible values are:<br> <br> NOT_INITIALIZED<br> No distribution set. <br> CONSTANT_DISTRIBUTION<br> Use the same value for each individual. Set **Duration_At_Node_Constant**.<br> UNIFORM_DISTRIBUTION<br> Use a `uniform`_ distribution with a given minimum and maximum. Set **Duration_At_Node_Max** and **Duration_At_Node_Min**.<br> GAUSSIAN_DISTRIBUTION<br> The distribution is `Gaussian`_ (or normal). Values are resampled to ensure >= 0. Set **Duration_At_Node_Gaussian_Mean** and **Duration_At_Node_Gaussian_Std_Dev**.<br> EXPONENTIAL_DISTRIBUTION<br> The distribution is `exponential`_ with a given mean. Set **Duration_At_Node_Exponential**.<br> WEIBULL_DISTRIBUTION<br> Use a `Weibull`_ distribution with a given shape and scale. Set **Duration_At_Node_Kappa** and **Duration_At_Node_Lambda**.<br> LOG_NORMAL_DISTRIBUTION<br> Use a `log-normal`_ distribution with a given mean and standard deviation of the natural log. Set **Duration_At_Node_Log_Normal_Mu** and **Duration_At_Node_Log_Normal_Sigma**.<br> POISSON_DISTRIBUTION<br> Use a `Poisson`_ distribution with a given mean. Set **Duration_At_Node_Poisson_Mean**. <br> DUAL_CONSTANT_DISTRIBUTION<br> Use a distribution where some individuals are set to a value of zero and the rest to a given value. Set **Duration_At_Node_Proportion_0** and **Peak_2_Value**. This distribution does not use the parameters set for CONSTANT_DISTRIBUTION.<br> DUAL_EXPONENTIAL_DISTRIBUTION<br> Use two `exponential`_ distributions with given means. Set **Duration_At_Node_Mean_1**, **Duration_At_Node_Mean_2**, and **Duration_At_Node_Proportion_1**. This distribution does not use the parameters set for EXPONENTIAL_DISTRIBUTION.<br> <br> <br> .. _Gaussian: https://en.wikipedia.org/wiki/Normal_distribution<br> <br> .. _exponential: https://en.wikipedia.org/wiki/Exponential_distribution<br> <br> .. _Weibull: https://en.wikipedia.org/wiki/Weibull_distribution<br> <br> .. _log-normal: https://en.wikipedia.org/wiki/Log-normal_distribution<br> <br> .. _uniform: https://en.wikipedia.org/wiki/Uniform_distribution_(continuous)<br> <br> .. _Poisson: https://en.wikipedia.org/wiki/Poisson_distribution"
Duration_At_Node_Exponential,float,0,3.40282E+38,-1,The mean of the duration at the destination node after migration when **Duration_At_Node_Distribution** is set to EXPONENTIAL_DISTRIBUTION.
Duration_At_Node_Gaussian_Mean,float,0,3.40282E+38,-1,"The mean of the duration at the destination node after migration, in days, when **Duration_At_Node_Distribution** is set to GAUSSIAN_DISTRIBUTION."
Duration_At_Node_Gaussian_Std_Dev,float,1.17549E-38,3.40282E+38,-1,"The standard deviation of the duration at the destination node after migration, in days, when **Duration_At_Node_Distribution** is set to GAUSSIAN_DISTRIBUTION."
Duration_At_Node_Kappa,float,1.17549E-38,3.40282E+38,-1,"The shape value for the duration at the destination node after migration, in days, when **Duration_At_Node_Distribution** is set to WEIBULL_DISTRIBUTION."
Duration_At_Node_Lambda,float,1.17549E-38,3.40282E+38,-1,"The scale value for the duration at the destination node after migration, in days, when **Duration_At_Node_Distribution** is set to WEIBULL_DISTRIBUTION."
Duration_At_Node_Log_Normal_Mu,float,-3.40282e+38,1.70141e+38,3.40282E+38,"The mean of the natural log of the duration at the destination node after migration, in days, when **Duration_At_Node_Distribution** is set to LOG_NORMAL_DISTRIBUTION."
Duration_At_Node_Log_Normal_Sigma,float,-3.40282e+38,1.70141e+38,3.40282E+38,"The standard deviation of the natural log of the duration at the destination node after migration, in days, when **Duration_At_Node_Distribution** is set to LOG_NORMAL_DISTRIBUTION."
Duration_At_Node_Max,float,0,3.40282E+38,-1,"The maximum duration at the destination node after migration, in days, when **Duration_At_Node_Distribution** is set to UNIFORM_DISTRIBUTION."
Duration_At_Node_Mean_1,float,1.17549E-38,3.40282E+38,-1,"The mean of the first exponential distribution, in days, when **Duration_At_Node_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION."
Duration_At_Node_Mean_2,float,1.17549E-38,3.40282E+38,-1,"The mean of the second exponential distribution, in days, when **Duration_At_Node_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION."
Duration_At_Node_Min,float,0,3.40282E+38,-1,"The minimum duration at the destination node after migration, in days, when **Duration_At_Node_Distribution** is set to UNIFORM_DISTRIBUTION."
Duration_At_Node_Peak_2_Value,float,0,3.40282E+38,-1,"The duration value at the destination node, in days, to assign to the remaining families when **Duration_At_Node_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION."
Duration_At_Node_Poisson_Mean,float,0,3.40282E+38,-1,"The mean of the duration at the destination node after migration, in days, when **Duration_At_Node_Distribution** is set to POISSON_DISTRIBUTION."
Duration_At_Node_Proportion_0,float,0,1,-1,The proportion of families to assign a value of zero days at the destination node when **Duration_At_Node_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.
Duration_At_Node_Proportion_1,float,0,1,-1,The proportion of families in the first exponential distribution  when **Duration_At_Node_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.
Duration_Before_Leaving_Constant,float,0,3.40282E+38,-1,"The duration before leaving to use for every family, in days, when **Duration_Before_Leaving_Distribution** is set to CONSTANT_DISTRIBUTION."
