Parameter,Type,Min,Max,Default,Description
Acquire_Config,json object,NA,NA,NA,The configuration for multi-effect vaccine acquisition. Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md). See [example](../json/campaign-multieffectboostervaccine-acquire-config.json).
Boost_Acquire,float,0,1,0,"Specifies the boosting effect on acquisition immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine. This does not replace current immunity, it builds multiplicatively on top of it."
Boost_Mortality,float,0,1,0,"Specifies the boosting effect on mortality immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine. This does not replace current immunity, it builds multiplicatively on top of it."
Boost_Threshold_Acquire,float,0,1,0,Specifies how much acquisition immunity is required before the vaccine changes from a prime to a boost.
Boost_Threshold_Mortality,float,0,1,0,Specifies how much mortality immunity is required before the vaccine changes from a prime to a boost.
Boost_Threshold_Transmit,float,0,1,0,Specifies how much transmission immunity is required before the vaccine changes from a prime to a boost.
Boost_Transmit,float,0,1,0,"Specifies the boosting effect on transmission immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine. This does not replace current immunity, it builds multiplicatively on top of it."
Cost_To_Consumer,float,0,999999,10,The unit cost per vaccine (unamortized).
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes."
Intervention_Name,string,NA,NA,MultiEffectBoosterVaccine,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.
Mortality_Config,json object,NA,NA,NA,The configuration for multi-effect vaccine mortality. Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md). See [example](../json/campaign-multieffectboostervaccine-mortality-config.json).
New_Property_Value,string,NA,NA,"""""","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one."
Prime_Acquire,float,0,1,0,Specifies the priming effect on acquisition immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine.
Prime_Mortality,float,0,1,0,Specifies the priming effect on mortality immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine.
Prime_Transmit,float,0,1,0,Specifies the priming effect on transmission immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine.
Transmit_Config,json object,NA,NA,NA,The configuration for multi-effect vaccine transmission. Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md). See [example](../json/campaign-multieffectboostervaccine-transmit-config.json).
Vaccine_Take,float,0,1,1,"The rate at which delivered vaccines will successfully stimulate an immune response and achieve the desired efficacy. For example, if it is set to 0.9, there will be a 90 percent chance that the vaccine will start with the specified efficacy, and a 10 percent chance that it will have no efficacy at all."
