Parameter,Type,Min,Max,Default,Description
Cost_To_Consumer,float,0,999999,10,Determines the unit cost when using the **STIBarrier** intervention to change defaults from demographics. Note that there is no cost for condoms distributed using demographics-configured default usage probabilities.
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes."
Early,float,0,1,1,The left asymptote for the sigmoid trend over time.<br> The **Early** value must be smaller than the **Late** value.
Intervention_Name,string,NA,NA,STIBarrier,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.
Late,float,0,1,1,The right asymptote for the sigmoid trend over time.<br> The **Late** value must be larger than the **Early** value.
MidYear,float,0,1,1,The time of the inflection point in the sigmoid trend over time.
New_Property_Value,string,NA,NA,"""""","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one."
Rate,float,0,1,1,The slope of the inflection point in the sigmoid trend over time. A Rate of 1 sets the slope to a 25% change in probability per year. Specify a negative Rate (e.g. -1) to achieve a negative sigmoid.
Relationship_Type,enum,NA,NA,TRANSITORY,The relationship type to which the condom usage probability is applied. Possible values are:<br> <br> * TRANSITORY<br> * INFORMAL<br> * MARITAL.
Usage_Duration_Constant,float,0,3.40282E+38,6,Each instance will receive this constant/fixed value.
Usage_Duration_Distribution,enum,NA,NA,NOT_INITIALIZED,"For the distribution of each **STIBarrier**, a randomly selected duration from this distribution will determine when the man stops using the intervention and revert back to condom usage based on the relationship type. Possible values are:<br> <br> * NOT_INITIALIZED<br> * CONSTANT_DISTRIBUTION<br> * UNIFORM_DISTRIBUTION<br> * GAUSSIAN_DISTRIBUTION<br> * EXPONENTIAL_DISTRIBUTION<br> * POISSON_DISTRIBUTION<br> * LOG_NORMAL_DISTRIBUTION<br> * DUAL_CONSTANT_DISTRIBUTION<br> * WEIBULL_DISTRIBUTION<br> * DUAL_EXPONENTIAL_DISTRIBUTION"
Usage_Duration_Exponential,float,0,3.40282E+38,6,The mean for an exponential distribution.
Usage_Duration_Gaussian_Mean,float,0,3.40282E+38,6,The mean for a Gaussian distribution.
Usage_Duration_Gaussian_Std_Dev,float,1.17549E-38,3.40282E+38,1,The standard deviation for a Gaussian distribution.
Usage_Duration_Kappa,float,1.17549E-38,3.40282E+38,1,The shape value in a Weibull distribution.
Usage_Duration_Lambda,float,1.17549E-38,3.40282E+38,1,The scale value in a Weibull distribution.
Usage_Duration_Log_Normal_Mu,float,-3.40282E+38,3.40282E+38,6,The mean for a log-normal distribution.
Usage_Duration_Log_Normal_Sigma,float,-3.40282E+38,3.40282E+38,1,The width for a log-normal distribution.
Usage_Duration_Max,float,0,3.40282E+38,1,The maximum of the uniform distribution.
Usage_Duration_Mean_1,float,1.17549E-38,3.40282E+38,1,The mean of the first exponential distribution.
Usage_Duration_Mean_2,float,1.17549E-38,3.40282E+38,1,The mean of the second exponential distribution.
Usage_Duration_Min,float,0,3.40282E+38,0,The minimum of the uniform distribution.
Usage_Duration_Peak_2_Value,float,0,3.40282E+38,1,The value to assign to the remaining individuals.
Usage_Duration_Poisson_Mean,float,0,3.40282E+38,6,The mean for a Poisson distribution.
Usage_Duration_Proportion_0,float,0,1,1,The proportion of individuals to assign a value of zero.
Usage_Duration_Proportion_1,float,0,1,1,The proportion of individuals in the first exponential distribution.
Usage_Expiration_Event,string,NA,NA,"""""","When the person stops using the STIBarrier, this event will be broadcasted. See [Event list](parameter-campaign-event-list.md) for possible values (note: not all built-in events are applicable), or use a custom event defined in the **Custom_Individudual_Events** list in the config file."
