Parameter,Type,Min,Max,Default,Description
Cost_To_Consumer,float,0,3.40282e+38,1,"The unit 'cost' assigned to the diagnostic. Setting **Cost_To_Consumer** to zero for all other interventions, and to a non-zero amount for one intervention, provides a convenient way to track the number of times the intervention has been applied in a simulation."
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes."
Event_Or_Config,enum,NA,NA,Config,"Specifies whether the current intervention (or a positive diagnosis, depending on the intervention class) distributes a nested intervention (the Config option) or an event will be broadcast which may trigger other interventions in the campaign file (the Event option). <br> Possible values are:<br> <br> * Event<br> * Config"
Intervention_Name,string,NA,NA,STIIsPostDebut,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.
Negative_Diagnosis_Config,json object,NA,NA,NA,"If **Event_Or_Config** is set to 'Config', this is the intervention given out when there is a negative diagnosis. See [example](../json/campaign-stiispostdebut-negative-diagnosis-config.json)."
Negative_Diagnosis_Event,enum,NA,NA,"""""",The name of the event to broadcast when an individual is found to NOT be Post-Debut age. **Event_or_Config** must be set to Event. See [Event list](parameter-campaign-event-list.md) for possible values.
New_Property_Value,string,NA,NA,"""""","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one."
Positive_Diagnosis_Config,json object,NA,NA,NA,The intervention distributed to individuals if they test positive. Only used if **Event_Or_Config** is set to 'Config'. See [example](../json/campaign-stiispostdebut-positive-diagnosis-config.json).
Positive_Diagnosis_Event,enum,NA,NA,"""""","If the test is positive, this specifies an event that can trigger another intervention when the event occurs. Only used if **Event_Or_Config** is set to Event. See [Event list](parameter-campaign-event-list.md) for possible values."
