Parameter,Type,Min,Max,Default,Description
Enable_Aging,boolean,0,1,1,Controls whether or not individuals in a population age during the simulation. **Enable_Vital_Dynamics** must be set to true (1).
Enable_Air_Migration,boolean,0,1,0,Controls whether or not migration by air travel will occur. **Migration_Model** must be set to FIXED_RATE_MIGRATION.
Enable_Birth,boolean,0,1,1,"Controls whether or not individuals will be added to the simulation by birth. **Enable_Vital_Dynamics** must be set to true (1). If you want new individuals to have the same intervention coverage as existing individuals, you must add a **BirthTriggeredIV** to the campaign file."
Enable_Coital_Dilution,boolean,0,1,1,Controls whether or not coital dilution will occur.
Enable_Default_Reporting,boolean,0,1,1,Controls whether or not the default InsetChart.json report is created.
Enable_Demographics_Builtin,boolean,0,1,0,Controls whether or not built-in demographics for default geography will be used. Note that the built-in demographics feature does not represent a real geographical location and is mostly used for testing. Set to true (1) to define the initial population and number of nodes using **Default_Geography_Initial_Node_Population** and **Default_Geography_Torus_Size**. Set to false (0) to use demographics input files defined in **Demographics_Filenames**.
Enable_Demographics_Reporting,boolean,0,1,1,Controls whether or not demographic summary data and age-binned reports are outputted to file.
Enable_Family_Migration,boolean,0,1,0,Controls whether or not all members of a household can migrate together when a MigrateFamily event occurs. All residents must be home before they can leave on the trip. **Migration_Model** must be set to FIXED_RATE_MIGRATION.
Enable_Infectivity_Reservoir,boolean,0,1,0,"Controls whether or not an exogeneous reservoir of infectivity will be included in the simulation and allows for the infectivity in a node to be increased additively. When set to 1 (true), the demographics parameter **InfectivityReservoirSize** is expected in **NodeAtttributes** for each node.<br> <br> .. warning::<br> <br> Do not set both **Enable_Infectivity_Reservoir** and  **Enable_Strain_Tracking** to true (1) - as this combination will cause an exception error."
Enable_Initial_Susceptibility_Distribution,boolean,0,1,0,"Controls whether or not individuals in the population have immunity at the beginning of the simulation. If set to 0, individuals are not initialized with immunity but may acquire immunity. If set to 1, you must indicate the type of distribution to use for immunity in the configuration parameter **Susceptibility_Initialization_Distribution_Type** and the distribution values in the demographics file. **Enable_Immunity** must be set to 1."
Enable_Interventions,boolean,0,1,0,Controls whether or not campaign interventions will be used in the simulation. Set **Campaign_Filename** to the path of the file that contains the campaign interventions.
Enable_Local_Migration,boolean,0,1,0,Controls whether or not local migration (the diffusion of people in and out of nearby nodes by foot travel) occurs. **Migration_Model** must be set to FIXED_RATE_MIGRATION.
Enable_Maternal_Infection_Transmission,boolean,0,1,0,Controls whether or not infectious mothers infect infants at birth. **Enable_Birth** must be set to 1 (true).<br> <br> .. warning::<br> <br> Do not set both **Enable_Maternal_Infection_Transmission** and  **Enable_Strain_Tracking** to true (1) - as this combination will cause an exception error.
Enable_Maternal_Protection,boolean,0,1,0,Controls whether or not mothers pass immunity on to their infants. Setting to 1 (true) enables maternal protection as defined by **Maternal_Protection_Type**. **Enable_Birth** must be set to 1 (true).
Enable_Migration_Heterogeneity,boolean,0,1,1,"Controls whether or not migration rate is heterogeneous among individuals within each group that has a migration rate setting. Set to true (1) to apply a migration rate distribution (see [NodeAttributes](parameter-demographics.md#nodeattributes) demographics parameters); set to false (0) to use the same migration rate applied to all individuals in the group. For example, if you are using a migration file that sets different migration rates for each age group in a node, you could apply an Gaussian distribution around a mean value in each age group or you could assign the same value to each individual in each age group. <br> <br> **Migration_Model** must be set to FIXED_RATE_MIGRATION."
Enable_Natural_Mortality,boolean,0,1,0,Controls whether or not individuals are removed from the simulation due to natural (non-disease) deaths. **Enable_Vital_Dynamics** must be set to 1 (true). Use **Death_Rate_Dependence** to set the natural death rate.
Enable_Property_Output,boolean,0,1,0,"Controls whether or not to create property output reports, which detail groups as defined in **IndividualProperties** in the demographics file (see [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters).  When there is more than one property type, the report will display the channel information for all combinations of the property type groups."
Enable_Regional_Migration,boolean,0,1,0,Controls whether or not there is migration by road or rail network into and out of nodes in the simulation. **Migration_Model** must be set to FIXED_RATE_MIGRATION.
Enable_Sea_Migration,boolean,0,1,0,Controls whether or not there is migration on ships into and out of coastal cities with seaports. **Migration_Model** must be set to FIXED_RATE_MIGRATION.
Enable_Spatial_Output,boolean,0,1,0,"Controls whether or not spatial output reports are created. If set to true (1), spatial output reports include all channels listed in the parameter **Spatial_Output_Channels**. <br> <br> .. note:: <br> <br> Spatial output files require significant processing time and disk space."
Enable_Vital_Dynamics,boolean,0,1,1,Controls whether or not births and deaths occur in the simulation. Births and deaths must be individually enabled and set.
