Parameter,Type,Min,Max,Default,Description
Custom_Coordinator_Events,array of strings,NA,NA,[],"The list of valid, user-defined Coordinator Events that will be included in the campaign. These are specifically events which apply with **EventCoordinators**, such completing distribution of a collection of interventions. Any event used in the campaign must be in this list. See [example](../json/config-output-configfile-custom-coordinator-events.json)."
Custom_Individual_Events,array of strings,NA,NA,[],"The list of valid, user-defined Individual Events that will be included in the campaign. These are specifically events which apply at an individual level, such as receiving a vaccine. Any individual event used in the campaign must either be one of the built-in events or in this list. See [Event list](parameter-campaign-event-list.md) for a list of all possible built-in events. See [example](../json/config-output-configfile-custom-individual-events.json)."
Custom_Node_Events,array of strings,NA,NA,[],"The list of valid, user-defined Node Events that will be included in the campaign. These are specifically events which apply at the node/location level, such as finishing using an **EnvironmentalDiagnostic**. Any event used in the campaign must be in this list. See [example](../json/config-output-configfile-custom-node-events.json)."
Custom_Reports_Filename,string,NA,NA,"""""",The name of the file containing custom report configuration parameters. Omitting this parameter or setting it to RunAllCustomReports will load all reporters found that are valid for the given simulation type. The file must be in JSON format.
Enable_Default_Reporting,boolean,0,1,1,Controls whether or not the default InsetChart.json report is created.
Enable_Demographics_Reporting,boolean,0,1,1,Controls whether or not demographic summary data and age-binned reports are outputted to file.
Enable_Property_Output,boolean,0,1,0,"Controls whether or not to create property output reports, which detail groups as defined in **IndividualProperties** in the demographics file (see [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters).  When there is more than one property type, the report will display the channel information for all combinations of the property type groups."
Enable_Spatial_Output,boolean,0,1,0,"Controls whether or not spatial output reports are created. If set to true (1), spatial output reports include all channels listed in the parameter **Spatial_Output_Channels**. <br> <br> .. note:: <br> <br> Spatial output files require significant processing time and disk space."
Report_Coital_Acts,boolean,0,1,0,Set to true (1) to enable or to false (0) to disable the RelationshipConsummatedReport.csv output report.
Report_Coordinator_Event_Recorder,boolean,0,1,0,"Enables or disables the ReportCoordinatorEventRecorder.csv output report for coordinator events. When enabled (set to 1) reports will be generated for the broadcasted valid coordinator events, as specified in **Report_Coordinator_Event_Recorder_Events**."
Report_Coordinator_Event_Recorder_Events,array of strings,NA,NA,[],"The list of events to include or exclude in the ReportCoordinatorEventRecorder.csv output report, based on how **Report_Coordinator_Event_Recorder_Ignore_Events_In_List** is set. This list must not be empty and is dependent upon **Report_Coordinator_Event_Recorder** being enabled. In addition, the events must be defined in **Customer_Coordinator_Events**. See [example](../json/config-output-configfile-report-coordinator-event-recorder-events.json)."
Report_Coordinator_Event_Recorder_Ignore_Events_In_List,boolean,0,1,0,"If set to false (0), only the events listed in the **Report_Coordinator_Event_Recorder_Events** array will be included in the ReportCoordinatorEventRecorder.csv output report. If set to true (1), only the events listed in the array will be excluded, and all other events will be included. If you want to return all events from the simulation, leave the events array empty."
Report_Event_Recorder,boolean,0,1,0,Set to 1 to generate the report.
Report_Event_Recorder_End_Day,float,0,3.40282e+38,3.40282e+38,The day of the simulation to stop collecting data.
Report_Event_Recorder_Events,array of strings,NA,NA,[],"The list of events to include or exclude in the ReportEventRecorder.csv output report, based on how **Report_Event_Recorder_Ignore_Events_In_List** is set. See [Event list](parameter-campaign-event-list.md) for a list of all possible built-in events. **Custom_Individual_Events** may also be included. Warning: If the list is empty and **Report_Event_Recorder_Ignore_Events_In_List** is set to 0, no events will be returned. See [example](../json/config-output-configfile-report-event-recorder-events.json)."
Report_Event_Recorder_Ignore_Events_In_List,boolean,0,1,0,"If set to false (0), only the events listed in **Report_Event_Recorder_Events** will be included in the output report. If set to true (1), only the events listed in **Report_Event_Recorder_Events** will be excluded, and all other events will be included. To return all events from the simulation, set this value to 1 and leave the the **Report_Event_Recorder_Events** array empty."
Report_Event_Recorder_Individual_Properties,array of strings,NA,NA,[],"An array of optional individual property (IP) keys to be added to the report. One column will be added for each IP Key listed, indicating the individual's value for that IP Key at the time of the event. See [IndividualProperties and NodeProperties](model-properties.md) for details on setting individual properties. See [example](../json/config-output-configfile-report-event-recorder-individual-properties.json)."
Report_Event_Recorder_Max_Age_Years,float,0,9.3228e+35,9.3228e+35,Maximum age in years of people to collect data on.
Report_Event_Recorder_Min_Age_Years,float,0,9.3228e+35,0,Minimum age in years of people to collect data on.
Report_Event_Recorder_Must_Have_Intervention,string,NA,NA,"""""",The name of the intervention that the individual must have in order to be included in the report. Leave the string empty (default value) to not include interventions in the selection criteria. See [Individual interventions](parameter-campaign-individual-interventions.md) for more information.
Report_Event_Recorder_Must_Have_IP_Key_Value,string,NA,NA,"""""",An individual property (IP) Key:Value pair that an individual must have in order to be included in the report. Leave the string empty (default value) to not include IPs in the selection criteria. See [IndividualProperties and NodeProperties](model-properties.md) for more information.
Report_Event_Recorder_Node_IDs_Of_Interest,array of integers,0,2.14748e+09,[],Data will be collected for the nodes in this list. Leave the array empty (default value) to collect data on all nodes. See [example](../json/config-output-configfile-report-event-recorder-node-ids-of-interest.json).
Report_Event_Recorder_PropertyChange_IP_Key_Of_Interest,string,NA,NA,"""""","If the string is not empty, then the recorder will add the PropertyChange event to the list of events that the report is listening to. However, it will only record the events where the property changed the value of the given key."
Report_Event_Recorder_Start_Day,float,0,3.40282e+38,0,The day of the simulation to start collecting data.
Report_Event_Recorder_Start_Year,float,1900,2200,1900,"The simulation time in calendar years to start collecting data (January 1st of the specified year). For HIV simulations, use this instead of **Report_Event_Recorder_Start_Day**."
Report_Event_Recorder_End_Year,float,1900,2200,2200,"The simulation time in calendar years to stop collecting data (January 1st of the specified year). For HIV simulations, use this instead of **Report_Event_Recorder_End_Day**."
Report_HIV_ART,boolean,0,1,0,Set to true (1) to enable or to false (0) to disable the ReportHIVART.csv output report.
Report_HIV_ByAgeAndGender,boolean,0,1,0,Set to 1 to generate the report.
Report_HIV_ByAgeAndGender_Add_Concordant_Relationships,boolean,0,1,0,"When set to 1, a Concordant column for each relationship type (TRANSITORY, INFORMAL, MARITAL, and COMMERCIAL) is included in the output report. These contain totals for each relationship of each type where both partners have the same HIV status."
Report_HIV_ByAgeAndGender_Use_Old_Format,boolean,NA,NA,0,"When set to 1, enables a legacy data collection behavior where data collection is offset by one time step: the first entry includes an extra time step and subsequent entries occur at half the **Report_HIV_Period** but remain offset. This is superseded functionality that exists only for backward compatibility with analyses built on the old behavior; it should not be used for new work. When set to 0 (default), data is collected as expected — every half of the **Report_HIV_Period** with no offset."
