Parameter,Type,Min,Max,Default,Description
Age_Initialization_Distribution_Type,enum,NA,NA,DISTRIBUTION_OFF,The method for initializing the age distribution in the simulated population. Possible values are: <br> <br> DISTRIBUTION_OFF<br> All individuals default to age 20 years old. <br> DISTRIBUTION_SIMPLE<br> Individual ages are drawn from a distribution whose functional form is specified in the demographics file using the **IndividualAttributes** simple **Age** distribution parameters. <br> DISTRIBUTION_COMPLEX<br> Individual ages are drawn from a piecewise linear function specified in the demographics file complex distribution parameters.
Birth_Rate_Boxcar_Forcing_Amplitude,float,0,3.40E+38,0,Fractional increase in birth rate during high birth season when **Birth_Rate_Time_Dependence** is set to ANNUAL_BOXCAR_FUNCTION.
Birth_Rate_Boxcar_Forcing_End_Time,float,0,365,0,Day of the year when the high birth rate season ends when **Birth_Rate_Time_Dependence** is set to ANNUAL_BOXCAR_FUNCTION.
Birth_Rate_Boxcar_Forcing_Start_Time,float,0,365,0,Day of the year when the high birth rate season begins when **Birth_Rate_Time_Dependence** is set to ANNUAL_BOXCAR_FUNCTION.
Birth_Rate_Dependence,enum,NA,NA,FIXED_BIRTH_RATE,"The method used to modify the value set in **BirthRate** in the demographics file (see [NodeAttributes](parameter-demographics.md#nodeattributes) parameters). Possible values are: <br> <br> NONE<br> Births are not allowed during the simulation, even if **Enable_Birth** is set to true (1). <br> FIXED_BIRTH_RATE<br> The absolute rate at which new individuals are born, as set by **BirthRate**. <br> POPULATION_DEP_RATE<br> Scales the node population to determine the birth rate. If **BirthRate** is greater than 0.005, a value of 2% per year (0.02/365) is used instead.  <br> DEMOGRAPHIC_DEP_RATE<br> Scales the female population within fertility age ranges (15-44 years) to determine the birth rate. If **BirthRate** is greater than 0.005, a value of 1 child every 8 years of fertility [1/8/365(~0.000342)] is used instead. <br> INDIVIDUAL_PREGNANCIES<br> Scales the female population within fertility age ranges (15-44 years) to determine the birth rate, but pregnancies are assigned on an individual basis and result in a 40-week pregnancy for a specific individual with a birth at the end.<br> INDIVIDUAL_PREGNANCIES_BY_AGE_AND_YEAR<br> Similar to INDIVIDUAL_PREGNANCIES, but determines the rate based on the **FertilityDistribution** (in **IndividualAttributes**), using the individual's age and the year of the simulation."
Birth_Rate_Sinusoidal_Forcing_Amplitude,float,0,1,0,The amplitude of sinusoidal variations in birth rate when **Birth_Rate_Time_Dependence** is set to SINUSOIDAL_FUNCTION_OF_TIME.
Birth_Rate_Sinusoidal_Forcing_Phase,float,0,365,0,The phase of sinusoidal variations in birth rate. **Birth_Rate_Time_Dependence** must be set to SINUSOIDAL_FUNCTION_OF_TIME.
Birth_Rate_Time_Dependence,enum,NA,NA,NONE,"A scale factor for **BirthRate** that allows it to be altered by time or season. **Enable_Birth** must be set to true (1). Possible values are:<br> <br> NONE<br> Birth rate does not vary by time.<br> SINUSOIDAL_FUNCTION_OF_TIME<br> Allows birth rate to be time-dependent, following a sinusoidal shape defined by $1 + \\sin \\text{Birth\\_Rate\\_Sinusoidal\\_Forcing\\_Amplitude} \\times \\sin(2 \\pi \\times (\\text{day} - \\sin \\text{Birth\\_Rate\\_Sinusoidal\\_Forcing\\_Phase})/365)$. Set **Birth_Rate_Sinusoidal_Forcing_Amplitude** and **Birth_Rate_Sinusoidal_Forcing_Phase**. <br> ANNUAL_BOXCAR_FUNCTION<br> Allows birth rate to follow a boxcar function. The scale factor will be equal to 1 except for a single interval in which it is equal to a given constant equal to 1 + **Birth_Rate_Boxcar_Forcing_Amplitude**. Set **Birth_Rate_Boxcar_Forcing_Amplitude**, **Birth_Rate_Boxcar_Forcing_End_Time**, and **Birth_Rate_Boxcar_Forcing_Start_Time**."
Death_Rate_Dependence,enum,NA,NA,NOT_INITIALIZED,"Determines how likely individuals are to die from natural, non-disease causes. **Enable_Natural_Mortality** must be set to 1. Possible values are:<br> <br> NOT_INITIALIZED<br> The daily mortality rate is 0, and no one dies from non-disease related causes.<br> NONDISEASE_MORTALITY_BY_AGE_AND_GENDER<br> The individual's age and gender are taken into account to determine the daily mortality rate.<br> NONDISEASE_MORTALITY_BY_YEAR_AND_AGE_FOR_EACH_GENDER<br> Gender, age, and year, are all taken into account to determine the daily mortality rate. <br> <br> Properties, rates, and bin sizes can be set for non-disease mortality for each gender in the demographics file (see [complex distributions](parameter-demographics.md#complex-distributions) parameters)."
Default_Geography_Initial_Node_Population,integer,0,1000000,1000,"When using the built-in demographics for default geography, the initial number of individuals in each node. Note that the built-in demographics feature does not represent a real geographical location and is mostly used for testing. **Enable_Demographics_Builtin** must be set to true (1)."
