Parameter,Type,Min,Max,Default,Description
AgeDistribution1,float,-3.40282e+038,3.40282e+038,0.000118,"The first value in the age distribution, the meaning of which depends upon the value set in **AgeDistributionFlag**. The table below shows the flag value and corresponding distribution value. <br> <br> .. csv-table::<br> :header: AgeDistributionFlag, AgeDistribution1<br> :widths: 1, 3<br> <br> 0, ""Age, in days, to assign to all individuals.""<br> 1, ""Minimum age, in days, for a uniform distribution.""<br> 2, ""Mean age, in days, for a Gaussian distribution.""<br> 3, ""Exponential decay rate.""<br> 4, ""Mean age, in days, for a Poisson distribution.""<br> 5, Mu (the mean of the natural log) for a log normal distribution.<br> 6, ""Proportion of individuals in the second, user-defined age bin vs. the first age bin (1 day) for a bimodal distribution. Must be between 0 and 1.""<br> 7, Scale parameter for a Weibull distribution.<br> <br> **Age_Initialization_Distribution_Type** in the configuration file must be set to DISTRIBUTION_SIMPLE (see [Population parameters](parameter-configuration-population.md) parameters)."
AgeDistribution2,float,-3.40282e+038,3.40282e+038,0,"The second value in the age distribution, the meaning of which depends upon the value set in **AgeDistributionFlag**. The table below shows the flag value and corresponding distribution value. <br> <br> .. csv-table::<br> :header: AgeDistributionFlag, AgeDistribution2<br> :widths: 1, 3<br> <br> 0, ""NA, set to 0.""<br> 1, ""Maximum age, in days, for a uniform distribution.""<br> 2, ""Standard deviation in age, in days, for a Gaussian distribution.""<br> 3, ""NA, set to 0.""<br> 4, ""NA, set to 0.""<br> 5, Sigma (the standard deviation of the natural log) for a log normal distribution.<br> 6, ""The age, in days, of individuals in the second age bin for a bimodal distribution.""<br> 7, Shape parameter for a Weibull distribution.<br> <br> **Age_Initialization_Distribution_Type** in the configuration file must be set to DISTRIBUTION_SIMPLE (see [Population parameters](parameter-configuration-population.md) parameters)."
AgeDistributionFlag,integer,0,7,3,"The type of distribution to use for age. Possible values are:<br> <br> * 0 (Constant, everyone in the population is the same age.)<br> * 1 (Uniform, ages are randomly drawn between a minimum and maximum value.)<br> * 2 (Gaussian)<br> * 3 (Exponential)<br> * 4 (Poisson)<br> * 5 (Log normal)<br> * 6 (Bimodal, non-continuous with some individuals 1 day old and others a user-defined age.)<br> * 7 (Weibull)<br> <br> **Age_Initialization_Distribution_Type** in the configuration file must be set to DISTRIBUTION_SIMPLE (see [Population parameters](parameter-configuration-population.md) parameters)."
MigrationHeterogeneityDistribution1,float,-3.40282e+38,3.40282e+38,1,"The first value in the migration heterogeneity distribution, the meaning of which depends upon the value set in **MigrationHeterogeneityFlag**. The table below shows the flag value and corresponding distribution value. <br> <br> .. csv-table::<br> :header: MigrationHeterogeneityDistributionFlag, MigrationHeterogeneityDistribution1<br> :widths: 1, 3<br> <br> 0, Migration heterogeneity value to assign.<br> 1, Minimum migration heterogeneity for a uniform distribution.<br> 2, Mean migration heterogeneity for a Gaussian distribution.<br> 3, Exponential decay rate.<br> 4, Mean migration heterogeneity for a Poisson distribution.<br> 5, Mu (the mean of the natural log) for a log normal distribution.<br> 6, ""Proportion of individuals in the second, user-defined migration heterogeneity bin vs. the first migration heterogeneity bin (value of 1 ) for a bimodal distribution. Must be between 0 and 1.""<br> 7, Scale parameter for a Weibull distribution.<br> <br> **Enable_Migration_Heterogeneity** in the configuration file must be set to 1 (see [Migration parameters](parameter-configuration-migration.md) parameters)."
MigrationHeterogeneityDistribution2,float,-3.40282e+038,3.40282e+038,0,"The second value in the distribution, the meaning of which depends upon the value set in **MigrationHeterogeneityDistributionFlag**. The table below shows the flag value and corresponding distribution value. <br> <br> .. csv-table::<br> :header: MigrationHeterogeneityDistributionFlag, MigrationHeterogeneityDistribution2<br> :widths: 1, 3<br> <br> 0, ""NA, set to 0.""<br> 1, Maximum migration heterogeneity for a uniform distribution.<br> 2, Standard deviation in migration heterogeneity for a Gaussian distribution.<br> 3, ""NA, set to 0.""<br> 4, ""NA, set to 0.""<br> 5, Sigma (the standard deviation of the natural log) for a log normal distribution.<br> 6, ""The migration heterogeniety of individuals in the second migration heterogeniety bin for a bimodal distribution.""<br> 7, Shape parameter for a Weibull distribution.<br> <br> **Enable_Migration_Heterogeneity** in the configuration file must be set to 1 (see [Migration parameters](parameter-configuration-migration.md) parameters)."
MigrationHeterogeneityDistributionFlag,integer,0,7,0,"The type of distribution to use for migration heterogeneity. Possible values are:<br> <br> * 0 (Constant, everyone in the population has the same migration value.)<br> * 1 (Uniform, migration values are randomly drawn between a minimum and maximum value.)<br> * 2 (Gaussian)<br> * 3 (Exponential)<br> * 4 (Poisson)<br> * 5 (Log normal)<br> * 6 (Bimodal, non-continuous with some individuals with a migration heterogeniety of 1 and others a user-defined value.)<br> * 7 (Weibull)<br> <br> **Enable_Migration_Heterogeneity** in the configuration file must be set to 1 (see [Migration parameters](parameter-configuration-migration.md) parameters)."
PrevalenceDistribution1,float,-3.40282e+038,3.40282e+038,1,"The first value in the prevalence distribution, the meaning of which depends upon the value set in **PrevalenceDistributionFlag**. The table below shows the flag value and corresponding distribution value. <br> <br> .. csv-table::<br> :header: PrevalenceDistributionFlag, PrevalenceDistribution1<br> :widths: 1, 3<br> <br> 0, Prevalence value to assign.<br> 1, Minimum prevalence for a uniform distribution.<br> 2, Mean prevalence for a Gaussian distribution.<br> 3, Exponential decay rate.<br> 4, Mean prevalence for a Poisson distribution.<br> 5, Mu (the mean of the natural log) for a log normal distribution.<br> 6, ""Proportion of individuals in the second, user-defined prevalence bin vs. the first prevalence bin (value of 1) for a bimodal distribution. Must be between 0 and 1.""<br> 7, Scale parameter for a Weibull distribution."
PrevalenceDistribution2,float,-3.40282e+038,3.40282e+038,0,"The second value in the distribution, the meaning of which depends upon the value set in **PrevalenceDistributionFlag**. The table below shows the flag value and corresponding distribution value. <br> <br> .. csv-table::<br> :header: PrevalenceDistributionFlag, PrevalenceDistribution2<br> :widths: 1, 3<br> <br> 0, ""NA, set to 0.""<br> 1, Maximum prevalence for a uniform distribution.<br> 2, Standard deviation in prevalence for a Gaussian distribution.<br> 3, ""NA, set to 0.""<br> 4, ""NA, set to 0.""<br> 5, Sigma (the standard deviation of the natural log) for a log normal distribution.<br> 6, ""The prevalence for individuals in the second prevalence bin for a bimodal distribution.""<br> 7, Shape parameter for a Weibull distribution."
PrevalenceDistributionFlag,integer,0,7,0,"The type of distribution to use for prevalence.  Possible values are:<br> <br> * 0 (Constant, everyone in the population has the same prevalence.)<br> * 1 (Uniform, prevalence is randomly drawn between a minimum and maximum value.)<br> * 2 (Gaussian)<br> * 3 (Exponential)<br> * 4 (Poisson)<br> * 5 (Log normal)<br> * 6 (Bimodal, non-continuous with some individuals having a prevalence of 1 and others a user-defined prevalence.)<br> * 7 (Weibull)."
RiskDistribution1,float,-3.40282e+038,3.40282e+038,0,"The first value in the risk distribution, the meaning of which depends upon the value set in **RiskDistributionFlag**. The table below shows the flag value and corresponding distribution value. <br> <br> .. csv-table::<br> :header: RiskDistributionFlag, RiskDistribution1<br> :widths: 1, 3<br> <br> 0, Risk value to assign.<br> 1, Minimum risk for a uniform distribution.<br> 2, Mean risk for a Gaussian distribution.<br> 3, Exponential decay rate.<br> 4, Mean risk for a Poisson distribution.<br> 5, Mu (the mean of the natural log) for a log normal distribution.<br> 6, ""Proportion of individuals in the second, user-defined risk bin vs. the first risk bin (value of 1) for a bimodal distribution. Must be between 0 and 1.""<br> 7, Scale parameter for a Weibull distribution."
