Parameter,Data type,Min,Max,Default,Description
Report_Event_Recorder,boolean,0,1,0,Set to 1 to generate the report.
Report_Event_Recorder_Events,array of strings,NA,NA,[],"The list of events to include or exclude in the output report, based on how **Report_Event_Recorder_Ignore_Events_In_List** is set. See [Event list](parameter-campaign-event-list.md) for a list of all possible built-in events. **Custom_Individual_Events** may also be included. Warning: If the list is empty and **Report_Event_Recorder_Ignore_Events_In_List** is set to 0, no events will be returned."
Report_Event_Recorder_Ignore_Events_In_List,boolean,0,1,0,"If set to false (0), only the events listed in **Report_Event_Recorder_Events** will be included in the output report. If set to true (1), only the events listed in **Report_Event_Recorder_Events** will be excluded, and all other events will be included. To return all events from the simulation, set this value to 1 and leave the the **Report_Event_Recorder_Events** array empty."
Report_Event_Recorder_Individual_Properties,array of strings,NA,NA,[],"An array of optional individual property (IP) keys to be added to the report. One column will be added for each IP Key listed, indicating the individual's value for that IP Key at the time of the event. See [Individual and node properties](model-properties.md) for details on setting individual properties."
Report_Event_Recorder_Start_Day,float,0,3.40282e+38,0,The day of the simulation to start collecting data.
Report_Event_Recorder_End_Day,float,0,3.40282e+38,3.40282e+38,The day of the simulation to stop collecting data.
Report_Event_Recorder_Start_Year,float,1900,2200,1900,"The simulation time in calendar years to start collecting data (January 1st of the specified year). For HIV simulations, use this instead of **Report_Event_Recorder_Start_Day**."
Report_Event_Recorder_End_Year,float,1900,2200,2200,"The simulation time in calendar years to stop collecting data (January 1st of the specified year). For HIV simulations, use this instead of **Report_Event_Recorder_End_Day**."
Report_Event_Recorder_Node_IDs_Of_Interest,array of integers,0,2.14748e+09,[],Data will be collected for the nodes in this list. Leave the array empty (default value) to collect data on all nodes.
Report_Event_Recorder_PropertyChange_IP_Key_Of_Interest,string,NA,NA,"""""","If the string is not empty, then the recorder will add the PropertyChange event to the list of events that the report is listening to. However, it will only record the events where the property changed the value of the given key."
Report_Event_Recorder_Min_Age_Years,float,0,9.3228e+35,0,Minimum age in years of people to collect data on.
Report_Event_Recorder_Max_Age_Years,float,0,9.3228e+35,9.3228e+35,Maximum age in years of people to collect data on.
Report_Event_Recorder_Must_Have_IP_Key_Value,string,NA,NA,"""""",An individual property (IP) Key:Value pair that an individual must have in order to be included in the report. Leave the string empty (default value) to not include IPs in the selection criteria. See [Individual and node properties](model-properties.md) for more information.
Report_Event_Recorder_Must_Have_Intervention,string,NA,NA,"""""",The name of the intervention that the individual must have in order to be included in the report. Leave the string empty (default value) to not include interventions in the selection criteria. See [Individual-level interventions](parameter-campaign-individual-interventions.md) for more information.
