Parameter,Data type,Min,Max,Default,Description
Report_Relationship_Start,boolean,NA,NA,0,Set this to 1 to generate the report.
Report_Relationship_Start_Start_Year,float,1900,2200,1900,Simulation time in years to start collecting data.
Report_Relationship_Start_End_Year,float,1900,2200,2200,Simulation time in years to stop collecting data.
Report_Relationship_Start_Max_Age_Years,float,0,9.3228e+35,9.3228e+35,The age that of one of the partners must be less than or equal to for the relationship to be reported.
Report_Relationship_Start_Min_Age_Years,float,0,9.3228e+35,0,The age that of one of the partners must be greater than or equal to for the relationship to be reported.
Report_Relationship_Start_Node_IDs_Of_Interest,array,0,2.14748e+09,[],Data will be collected for the nodes in this list.
Report_Relationship_Start_Include_HIV_Disease_Statistics,boolean,NA,NA,1,"When set to 1, the report will include information on CD4 count, viral load, disease stage, HIV positivity, and HIV testing results for each partner in the relationship."
Report_Relationship_Start_Include_Other_Relationship_Statistics,boolean,NA,NA,1,"When set to 1, the report will include information on the number of active and lifetime relationships of each type (Transitory, Informal, Marital, and Commercial) for each partner in the relationship, as well as total relationships in the past six month and total lifetime relationships. Additionally, a bitmask column will indicate which types of concurrent relationships are allowed; these are configured using the **Concurrency_Configuration** parameter in the demographics file—see [Demographics parameters](parameter-demographics.md) for more information."
Report_Relationship_Start_Individual_Properties,array of strings,NA,NA,[],"A list of individual property (IP) keys that will be included in the report as applicable to each partner at the start of the relationship. One column will be added to the report for each partner, for each key in the list. Specify the IP keys by adding an **IndividualProperties** parameter in the demographics file. See [Individual and node properties](model-properties.md) for details on setting individual properties."
Report_Relationship_Start_Must_Have_IP_Key_Value,string,NA,NA,"""""","A Key:Value pair that one of the partners must have for the relationship to be reported. Empty string means don't look at individual properties. For more information, see [Individual and node properties](model-properties.md)."
Report_Relationship_Start_Must_Have_Intervention,string,NA,NA,"""""","The name of an intervention that the one of the partners must have in order for the relationship to be reported. Empty string means don't look at the interventions. For more information, see [Individual-level interventions](parameter-campaign-individual-interventions.md)."
