Time,Node_ID,Rel_ID,A_ID,B_ID,A_Gender,B_Gender,A_Age,B_Age,A_Is_Infected,B_Is_Infected,Did_Use_Condom,A_Num_Current_Rels,B_Num_Current_Rels,A_Is_Circumcised,B_Is_Circumcised,A_Has_CoInfection,B_Has_CoInfection,A_HIV_Infection_Stage,B_HIV_Infection_Stage,A_Is_On_ART,B_Is_On_ART
6,1,8,1,19,MALE,FEMALE,31.8508,5.89885,0,0,0,3,1,0,0,0,0,-1,-1,0,0
6,1,9,1,20,MALE,FEMALE,31.8508,11.6313,0,0,0,3,1,0,0,0,0,-1,-1,0,0
6,1,10,1,9,MALE,FEMALE,31.8508,1.07552,0,0,0,3,1,0,0,0,0,-1,-1,0,0
6,1,1,4,10,MALE,FEMALE,23.3918,24.4321,0,0,0,1,1,0,0,0,0,-1,-1,0,0
6,1,2,5,11,MALE,FEMALE,38.1434,21.831,0,0,0,1,1,0,0,0,0,-1,-1,0,0
6,1,3,6,12,MALE,FEMALE,48.3907,52.1181,0,0,0,3,1,0,0,0,0,-1,-1,0,0
6,1,4,6,13,MALE,FEMALE,48.3907,42.5697,0,0,0,3,1,0,0,0,0,-1,-1,0,0
6,1,6,6,17,MALE,FEMALE,48.3907,16.5837,0,0,0,3,3,0,0,0,0,-1,-1,0,0
6,1,5,7,17,MALE,FEMALE,25.9589,16.5837,0,0,0,1,3,0,0,0,0,-1,-1,0,0
6,1,7,18,17,MALE,FEMALE,52.0453,16.5837,0,0,0,1,3,0,0,0,0,-1,-1,0,0
7,1,10,1,9,MALE,FEMALE,31.8536,1.07826,0,0,0,3,1,0,0,0,0,-1,-1,0,0
8,1,1,4,10,MALE,FEMALE,23.3972,24.4376,0,0,0,1,1,0,0,0,0,-1,-1,0,0
8,1,5,7,17,MALE,FEMALE,25.9644,16.5892,0,0,0,1,3,0,0,0,0,-1,-1,0,0
8,1,7,18,17,MALE,FEMALE,52.0508,16.5892,0,0,0,1,3,0,0,0,0,-1,-1,0,0
10,1,1,4,10,MALE,FEMALE,23.4027,24.443,0,0,0,1,1,0,0,0,0,-1,-1,0,0
11,1,1,4,10,MALE,FEMALE,23.4055,24.4458,0,0,0,1,1,0,0,0,0,-1,-1,0,0
11,1,1,4,10,MALE,FEMALE,23.4055,24.4458,0,0,0,1,1,0,0,0,0,-1,-1,0,0
11,1,2,5,11,MALE,FEMALE,38.1571,21.8447,0,0,0,1,1,0,0,0,0,-1,-1,0,0
11,1,3,6,12,MALE,FEMALE,48.4044,52.1318,0,0,0,3,1,0,0,0,0,-1,-1,0,0
11,1,5,7,17,MALE,FEMALE,25.9726,16.5974,0,0,0,1,3,0,0,0,0,-1,-1,0,0
