Rel_ID,Node_ID,Rel_start_time,Rel_scheduled_end_time,Rel_actual_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),male_ID,female_ID,male_age,female_age,Termination_Reason
4,1,4878,4947.54,4948,0,678,629,13.5562,13.5562,BROKEUP
9,1,4934,4970.05,4971,0,166,698,13.6192,13.6192,BROKEUP
3,1,4871,4972.82,4973,0,410,404,13.6247,13.6247,BROKEUP
14,1,4983,5040.84,5041,0,389,585,13.811,13.811,BROKEUP
21,1,5053,5054.77,5055,0,378,659,13.8493,13.8493,BROKEUP
13,1,4976,5055.33,5056,0,165,397,13.8521,13.8521,BROKEUP
5,1,4885,5070.85,5071,0,502,803,13.8932,13.8932,BROKEUP
11,1,4955,5098.44,5099,0,634,150,13.9699,13.9699,BROKEUP
26,1,5088,5104.11,5105,0,320,746,13.9863,13.9863,BROKEUP
7,1,4899,5126.29,5127,0,916,658,14.0466,14.0466,BROKEUP
2,1,4843,5143.93,5144,0,974,90,14.0932,14.0932,BROKEUP
16,1,4997,5144.96,5145,0,93,261,14.0959,14.0959,BROKEUP
36,1,5200,5217.59,5218,0,967,198,14.2959,14.2959,BROKEUP
33,1,5179,5219.41,5220,0,182,707,14.3014,14.3014,BROKEUP
23,1,5060,5232.18,5233,0,935,822,14.337,14.337,BROKEUP
41,1,5228,5259.33,5260,0,389,371,14.411,14.411,BROKEUP
17,1,5032,5261.39,5262,0,704,524,14.4164,14.4164,BROKEUP
44,1,5242,5270.37,5271,0,916,954,14.4411,14.4411,BROKEUP
49,1,5270,5289.51,5290,0,785,456,14.4932,14.4932,BROKEUP
31,1,5144,5313.03,5314,0,320,734,14.5589,14.5589,BROKEUP
