Year, NodeId, Gender, IP_Key:Adherence, HasIntervention:STIBarrier_NoCondoms, IsCircumcised, HIV_Stage, Age, Population, Infected CD4 Under 200 (Not On ART), Infected CD4 200 To 349 (Not On ART), Infected CD4 350 To 499 (Not On ART), Infected CD4 500 Plus (Not On ART), Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative,Transmitters, HasIntervention(CoitalActRiskFactors_MoreLikelyToTransmit),EnteredRelationship,ExitedRelationship,Currently (TRANSITORY),Currently (INFORMAL),Currently (MARITAL),Currently (COMMERCIAL),Ever (TRANSITORY),Ever (INFORMAL),Ever (MARITAL),Ever (COMMERCIAL),Has Concurrent Partners,Current Partners,Lifetime Partners,Num_TRANSITORY,Num_INFORMAL,Num_MARITAL,Num_COMMERCIAL,Num_Concordant_TRANSITORY,Num_Concordant_INFORMAL,Num_Concordant_MARITAL,Num_Concordant_COMMERCIAL
1963.37,1,0,LOW,0,0,NOT_INFECTED,15,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,35,337,450,18,0,607,574,19,0,322,1059,2424,432,609,18,0,392,568,18,0
1963.37,1,0,LOW,0,0,NOT_INFECTED,40,876,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,10,96,275,133,0,252,403,137,0,133,558,996,106,319,133,0,106,319,132,0
1963.37,1,0,LOW,0,0,ACUTE,15,3,0,0,0,3,3,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,3,2,0,0,2,6,10,3,3,0,0,2,2,0,0
1963.37,1,0,LOW,0,0,ACUTE,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.37,1,0,LOW,0,0,LATENT,15,46,13,10,19,4,46,0,0,0,0,0,0,0,0,0,0,0,3,2,23,39,3,0,42,44,3,0,31,84,179,30,51,3,0,6,23,1,0
1963.37,1,0,LOW,0,0,LATENT,40,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,3,3,1,2,0,0,0,1,0,0
1963.37,1,0,LOW,0,0,AIDS,15,3,3,0,0,0,3,0,0,1,1,0,0,0,0,0,1,0,1,1,2,2,0,0,3,3,0,0,2,6,14,3,3,0,0,2,1,0,0
1963.37,1,0,LOW,0,0,AIDS,40,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
1963.37,1,0,LOW,0,0,ON_ART,15,37,0,0,0,0,37,0,37,0,0,37,0,0,0,0,0,0,4,3,20,30,3,0,30,33,3,0,23,66,143,25,38,3,0,9,17,2,0
1963.37,1,0,LOW,0,0,ON_ART,40,2,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,0,1,3,4,1,1,1,0,0,0,1,0
