Period,Age (x),Age interval (n),"Central death rate m(x,n)"
1950-1955,0,1,0.17811
1955-1960,0,1,0.16324
1960-1965,0,1,0.14927
1965-1970,0,1,0.13839
1970-1975,0,1,0.12479
1975-1980,0,1,0.11489968718691838
1980-1985,0,1,0.10520539797364714
1985-1990,0,1,0.09632903303546694
1990-1995,0,1,0.0882015826590233
1995-2000,0,1,0.08075985960216392
2000-2005,0,1,0.0739460078417764
2005-2010,0,1,0.06770705276943728
2010-2015,0,1,0.06199448933784708
2015-2020,0,1,0.05676390495607711
2020-2025,0,1,0.05197463420180909
2025-2030,0,1,0.04758944266611201
2030-2035,0,1,0.043574237472792696
1950-1955,1,4,0.03302
1955-1960,1,4,0.02996
1960-1965,1,4,0.02711
1965-1970,1,4,0.02444
1970-1975,1,4,0.02108
1975-1980,1,4,0.019257858044269625
1980-1985,1,4,0.017249742953713013
1985-1990,1,4,0.015451024266829823
1990-1995,1,4,0.013839867152500076
1995-2000,1,4,0.012396713608822238
2000-2005,1,4,0.011104045046516036
2005-2010,1,4,0.009946169628965936
2010-2015,1,4,0.008909031787402901
2015-2020,1,4,0.007980041598909188
2020-2025,1,4,0.00714792195604956
2025-2030,1,4,0.006402571672904529
2030-2035,1,4,0.00573494286573531
1950-1955,5,5,0.01061
1955-1960,5,5,0.0097
1960-1965,5,5,0.00884
1965-1970,5,5,0.00808
1970-1975,5,5,0.00711
1975-1980,5,5,0.006539258220191267
1980-1985,5,5,0.005926841224801015
1985-1990,5,5,0.0053717785291820305
1990-1995,5,5,0.004868698767537857
1995-2000,5,5,0.004412733615180173
2000-2005,5,5,0.003999470677539617
2005-2010,5,5,0.0036249107912321174
2010-2015,5,5,0.003285429323981036
2015-2020,5,5,0.0029777410988935365
2020-2025,5,5,0.0026988686036610258
2025-2030,5,5,0.0024461131770433966
2030-2035,5,5,0.002217028893807124
1950-1955,10,5,0.00539
1955-1960,10,5,0.00495
1960-1965,10,5,0.00454
1965-1970,10,5,0.00421
1970-1975,10,5,0.00377
1975-1980,10,5,0.0034897987381514077
1980-1985,10,5,0.0031990315701156628
1985-1990,10,5,0.0029332055719069007
1990-1995,10,5,0.0026901813618454566
1995-2000,10,5,0.002468003068247563
2000-2005,10,5,0.0022648825884665756
2005-2010,10,5,0.002079185198148471
2010-2015,10,5,0.0019094163948838348
2015-2020,10,5,0.0017542098703735526
2020-2025,10,5,0.001612316514307346
2025-2030,10,5,0.0014825943614580476
2030-2035,10,5,0.0013639994010850875
1950-1955,15,5,0.0062
1955-1960,15,5,0.00578
1960-1965,15,5,0.00539
1965-1970,15,5,0.00508
1970-1975,15,5,0.00468
1975-1980,15,5,0.004392775590661894
1980-1985,15,5,0.004103707266762756
1985-1990,15,5,0.003835055526678415
1990-1995,15,5,0.003585378369123325
1995-2000,15,5,0.003353335639806867
2000-2005,15,5,0.003137681838089941
2005-2010,15,5,0.0029372594316997023
2010-2015,15,5,0.002750992643618771
2015-2020,15,5,0.0025778816777997492
2020-2025,15,5,0.002416997352711297
2025-2030,15,5,0.0022674761139110525
2030-2035,15,5,0.0021285153988751518
1950-1955,20,5,0.00878
1955-1960,20,5,0.00819
1960-1965,20,5,0.00764
1965-1970,20,5,0.00723
1970-1975,20,5,0.00668
1975-1980,20,5,0.006275900416496319
1980-1985,20,5,0.005874013655555061
1985-1990,20,5,0.00549961425096285
1990-1995,20,5,0.005150822183688266
1995-2000,20,5,0.004825886020057906
2000-2005,20,5,0.0045231741170612795
2005-2010,20,5,0.004241166429175606
2010-2015,20,5,0.0039784468755691875
2015-2020,20,5,0.003733696229355809
2020-2025,20,5,0.0035056854931941554
2025-2030,20,5,0.0032932697279681187
2030-2035,20,5,0.0030953823035594122
1950-1955,25,5,0.0093
1955-1960,25,5,0.00867
1960-1965,25,5,0.00808
1965-1970,25,5,0.00763
1970-1975,25,5,0.00703
1975-1980,25,5,0.006597822389137461
1980-1985,25,5,0.006163848903950641
1985-1990,25,5,0.005759779880053495
1990-1995,25,5,0.005383554645917574
1995-2000,25,5,0.005033254527795516
2000-2005,25,5,0.0047070930648672096
2005-2010,25,5,0.004403406898645393
2010-2015,25,5,0.004120647290178766
2015-2020,25,5,0.0038573722217919073
2020-2025,25,5,0.0036122390430822983
2025-2030,25,5,0.003383997623670795
2030-2035,25,5,0.003171483977785706
