ountry,NA,ID,Nothing,AreaCode,Years,15-19,20-24,25-29,30-34,35-39,40-45,45-49
Malawi,,454,Country/Area,910,1950-1955,182.6,288.3,279.2,246.7,181.6,116.6,75.0
Malawi,,454,Country/Area,910,1955-1960,183.9,290.4,281.3,248.5,183.0,117.4,75.6
Malawi,,454,Country/Area,910,1960-1965,186.6,294.7,285.5,252.2,185.7,119.2,76.7
Malawi,,454,Country/Area,910,1965-1970,192.0,303.2,293.7,259.5,191.0,122.6,78.9
Malawi,,454,Country/Area,910,1970-1975,197.3,311.5,301.7,266.6,196.3,126.0,81.1
Malawi,,454,Country/Area,910,1975-1980,202.5,319.8,309.8,273.7,201.5,129.3,83.2
Malawi,,454,Country/Area,910,1980-1985,202.5,319.8,309.8,273.7,201.5,129.3,83.2
Malawi,,454,Country/Area,910,1985-1990,193.2,305.1,295.6,261.1,192.3,123.4,79.4
Malawi,,454,Country/Area,910,1990-1995,159.3,288.1,264.1,237.5,180.4,112.0,58.5
Malawi,,454,Country/Area,910,1995-2000,160.9,295.8,265.9,211.0,162.8,95.4,48.2
Malawi,,454,Country/Area,910,2000-2005,155.7,286.3,257.3,204.2,157.6,92.3,46.6
Malawi,,454,Country/Area,910,2005-2010,154.5,268.2,239.1,205.3,159.8,83.8,35.4
Malawi,,454,Country/Area,910,2010-2015,144.2,239.0,212.7,173.7,123.2,61.1,22.1
Malawi,,454,Country/Area,910,2015-2020,132.7,209.7,186.0,154.2,104.9,47.9,14.7

