Period,Age (x),Age interval (n),"Central death rate m(x,n)"
1950-1955,0,1,0.21563
1950-1955,1,4,0.05505
1950-1955,5,5,0.00934
1950-1955,10,5,0.00508
1950-1955,15,5,0.00709
1950-1955,20,5,0.00891
1950-1955,25,5,0.0097
1950-1955,30,5,0.01007
1950-1955,35,5,0.01083
1950-1955,40,5,0.01135
1950-1955,45,5,0.01235
1950-1955,50,5,0.01636
1950-1955,55,5,0.02264
1950-1955,60,5,0.03726
1950-1955,65,5,0.05854
1950-1955,70,5,0.09603
1950-1955,75,5,0.15393
1950-1955,80,5,0.24181
1950-1955,85,15,0.37021
1955-1960,0,1,0.20881
1955-1960,1,4,0.05249
1955-1960,5,5,0.00893
1955-1960,10,5,0.00487
1955-1960,15,5,0.00681
1955-1960,20,5,0.00855
1955-1960,25,5,0.00933
1955-1960,30,5,0.00968
1955-1960,35,5,0.01043
1955-1960,40,5,0.01096
1955-1960,45,5,0.01196
1955-1960,50,5,0.01586
1955-1960,55,5,0.02196
1955-1960,60,5,0.03611
1955-1960,65,5,0.0568
1955-1960,70,5,0.09332
1955-1960,75,5,0.14989
1955-1960,80,5,0.23615
1955-1960,85,15,0.36359
1960-1965,0,1,0.20035
1960-1965,1,4,0.0493
1960-1965,5,5,0.0084
1960-1965,10,5,0.0046
1960-1965,15,5,0.00645
1960-1965,20,5,0.00811
1960-1965,25,5,0.00885
1960-1965,30,5,0.00919
1960-1965,35,5,0.00992
1960-1965,40,5,0.01046
1960-1965,45,5,0.01146
1960-1965,50,5,0.01522
1960-1965,55,5,0.0211
1960-1965,60,5,0.03467
1960-1965,65,5,0.05464
1960-1965,70,5,0.09002
1960-1965,75,5,0.14502
1960-1965,80,5,0.22939
1960-1965,85,15,0.3558
1965-1970,0,1,0.19313
1965-1970,1,4,0.0466
1965-1970,5,5,0.00795
1965-1970,10,5,0.00438
1965-1970,15,5,0.00615
1965-1970,20,5,0.00773
1965-1970,25,5,0.00846
1965-1970,30,5,0.00877
1965-1970,35,5,0.00948
1965-1970,40,5,0.01004
1965-1970,45,5,0.01103
1965-1970,50,5,0.01468
1965-1970,55,5,0.02037
1965-1970,60,5,0.03344
1965-1970,65,5,0.0528
1965-1970,70,5,0.08719
1965-1970,75,5,0.14085
1965-1970,80,5,0.22361
1965-1970,85,15,0.34917
1970-1975,0,1,0.1801
1970-1975,1,4,0.04131
1970-1975,5,5,0.00699
1970-1975,10,5,0.00394
1970-1975,15,5,0.0056
1970-1975,20,5,0.00704
1970-1975,25,5,0.00772
1970-1975,30,5,0.008
1970-1975,35,5,0.00866
1970-1975,40,5,0.00923
1970-1975,45,5,0.01022
1970-1975,50,5,0.01365
1970-1975,55,5,0.01897
1970-1975,60,5,0.03109
1970-1975,65,5,0.04944
1970-1975,70,5,0.08215
1970-1975,75,5,0.13348
1970-1975,80,5,0.21331
1970-1975,85,15,0.33768
1975-1980,0,1,0.16875
1975-1980,1,4,0.03678
1975-1980,5,5,0.00622
1975-1980,10,5,0.00354
1975-1980,15,5,0.00505
1975-1980,20,5,0.00637
1975-1980,25,5,0.00701
1975-1980,30,5,0.00729
1975-1980,35,5,0.00794
1975-1980,40,5,0.00856
1975-1980,45,5,0.00956
1975-1980,50,5,0.01281
1975-1980,55,5,0.01788
1975-1980,60,5,0.02925
1975-1980,65,5,0.04667
1975-1980,70,5,0.07808
1975-1980,75,5,0.12779
1975-1980,80,5,0.2061
1975-1980,85,15,0.32992
1980-1985,0,1,0.15854
1980-1985,1,4,0.03245
1980-1985,5,5,0.00547
1980-1985,10,5,0.00315
1980-1985,15,5,0.0045
1980-1985,20,5,0.00577
1980-1985,25,5,0.00648
1980-1985,30,5,0.00679
1980-1985,35,5,0.00746
1980-1985,40,5,0.00808
1980-1985,45,5,0.00907
1980-1985,50,5,0.01213
1980-1985,55,5,0.01686
1980-1985,60,5,0.02748
1980-1985,65,5,0.04401
1980-1985,70,5,0.07413
1980-1985,75,5,0.12227
1980-1985,80,5,0.19877
1980-1985,85,15,0.3221
1985-1990,0,1,0.15072
1985-1990,1,4,0.02883
1985-1990,5,5,0.00484
1985-1990,10,5,0.00282
1985-1990,15,5,0.00406
1985-1990,20,5,0.00554
1985-1990,25,5,0.00668
1985-1990,30,5,0.00715
1985-1990,35,5,0.00803
1985-1990,40,5,0.00852
1985-1990,45,5,0.00942
1985-1990,50,5,0.01219
1985-1990,55,5,0.01641
1985-1990,60,5,0.02612
1985-1990,65,5,0.04166
1985-1990,70,5,0.07063
1985-1990,75,5,0.11738
1985-1990,80,5,0.19232
1985-1990,85,15,0.31528
1990-1995,0,1,0.13788
1990-1995,1,4,0.02233
1990-1995,5,5,0.00365
1990-1995,10,5,0.00219
1990-1995,15,5,0.00332
1990-1995,20,5,0.00549
1990-1995,25,5,0.00865
1990-1995,30,5,0.01002
1990-1995,35,5,0.01189
1990-1995,40,5,0.01164
1990-1995,45,5,0.01226
1990-1995,50,5,0.01421
1990-1995,55,5,0.01704
1990-1995,60,5,0.0247
1990-1995,65,5,0.03802
1990-1995,70,5,0.06418
1990-1995,75,5,0.10755
1990-1995,80,5,0.17938
1990-1995,85,15,0.30188
1995-2000,0,1,0.11945
1995-2000,1,4,0.01543
1995-2000,5,5,0.00257
1995-2000,10,5,0.0015
1995-2000,15,5,0.00235
1995-2000,20,5,0.00501
1995-2000,25,5,0.01169
1995-2000,30,5,0.01608
1995-2000,35,5,0.02003
1995-2000,40,5,0.01869
1995-2000,45,5,0.01814
1995-2000,50,5,0.01877
1995-2000,55,5,0.01938
1995-2000,60,5,0.02422
1995-2000,65,5,0.03454
1995-2000,70,5,0.05711
1995-2000,75,5,0.09667
1995-2000,80,5,0.16259
1995-2000,85,15,0.2853
2000-2005,0,1,0.10119
2000-2005,1,4,0.01065
2000-2005,5,5,0.00202
2000-2005,10,5,0.00129
2000-2005,15,5,0.00167
2000-2005,20,5,0.00393
2000-2005,25,5,0.01201
2000-2005,30,5,0.01999
2000-2005,35,5,0.02724
