Country,Variant,CountryCode,Years,15-19,20-24,25-29,30-34,35-39,40-45,45-49
Uganda,Estimates,800,1950-1955,176.6,307.2,301.3,258.2,212.0,90.4,34.4
Uganda,Estimates,800,1955-1960,177.9,309.4,303.4,260.1,213.5,91.0,34.6
Uganda,Estimates,800,1960-1965,180.5,313.9,307.8,263.8,216.6,92.4,35.1
Uganda,Estimates,800,1965-1970,182.3,317.0,310.9,266.4,218.7,93.3,35.5
Uganda,Estimates,800,1970-1975,181.8,316.1,310.0,265.7,218.1,93.0,35.4
Uganda,Estimates,800,1975-1980,181.8,316.1,310.0,265.7,218.1,93.0,35.4
Uganda,Estimates,800,1980-1985,181.8,316.1,310.0,265.7,218.1,93.0,35.4
Uganda,Estimates,800,1985-1990,185.5,317.5,311.1,264.7,212.6,93.3,35.4
Uganda,Estimates,800,1990-1995,201.3,322.2,314.2,259.1,186.0,94.8,35.0
Uganda,Estimates,800,1995-2000,191.0,330.2,299.9,259.1,185.5,85.4,38.1
Uganda,Estimates,800,2000-2005,172.5,334.4,305.4,252.3,173.8,75.9,34.7
Uganda,Estimates,800,2005-2010,149.9,329.3,307.9,238.4,155.8,65.6,29.1
Uganda,Estimates,800,2010-2015,126.6,317.3,302.8,220.5,136.6,55.0,23.7
Uganda,Medium variant,800,2015-2020,106.5,302.5,295.0,202.8,119.2,46.1,19.2
Uganda,Medium variant,800,2020-2025,89.4,285.7,284.9,186.2,104.2,38.6,15.5
Uganda,Medium variant,800,2025-2030,74.9,267.8,273.1,170.9,91.3,32.6,12.6
Uganda,Medium variant,800,2030-2035,62.9,249.5,260.5,157.3,80.4,27.6,10.2
Uganda,Medium variant,800,2035-2040,53.0,231.8,247.8,145.4,71.3,23.5,8.3
Uganda,Medium variant,800,2040-2045,44.9,215.3,235.8,135.4,63.9,20.3,6.8
Uganda,Medium variant,800,2045-2050,38.4,199.9,224.6,127.0,58.0,17.7,5.5
Uganda,Medium variant,800,2050-2055,33.1,186.1,214.5,120.4,53.2,15.7,4.6
Uganda,Medium variant,800,2055-2060,28.8,173.6,205.6,115.3,49.6,14.0,3.9
Uganda,Medium variant,800,2060-2065,25.3,162.3,197.7,111.4,46.7,12.7,3.3
Uganda,Medium variant,800,2065-2070,22.4,151.9,190.5,108.6,44.6,11.7,2.8
Uganda,Medium variant,800,2070-2075,20.0,142.1,183.8,106.6,43.0,10.9,2.4
Uganda,Medium variant,800,2075-2080,17.9,132.8,177.4,105.3,41.9,10.2,2.1
Uganda,Medium variant,800,2080-2085,16.2,124.0,171.3,104.6,41.2,9.7,1.8
Uganda,Medium variant,800,2085-2090,14.7,115.6,165.4,104.5,40.9,9.3,1.6
Uganda,Medium variant,800,2090-2095,13.4,107.5,159.6,104.8,40.9,9.0,1.4
Uganda,Medium variant,800,2095-2100,12.3,99.8,154.0,105.5,41.2,8.8,1.2
