Period,Age (x),Age interval (n),"Central death rate m(x,n)"
1950-1955,0,1,0.16362
1950-1955,1,4,0.03478
1950-1955,5,5,0.01139
1950-1955,10,5,0.00598
1950-1955,15,5,0.00636
1950-1955,20,5,0.00733
1950-1955,25,5,0.00858
1950-1955,30,5,0.00995
1950-1955,35,5,0.01140
1950-1955,40,5,0.01258
1950-1955,45,5,0.01371
1950-1955,50,5,0.01694
1950-1955,55,5,0.02300
1950-1955,60,5,0.03362
1950-1955,65,5,0.05104
1950-1955,70,5,0.07927
1950-1955,75,5,0.11949
1950-1955,80,5,0.18111
1950-1955,85,15,0.28297
1955-1960,0,1,0.14679
1955-1960,1,4,0.03080
1955-1960,5,5,0.01015
1955-1960,10,5,0.00536
1955-1960,15,5,0.00574
1955-1960,20,5,0.00666
1955-1960,25,5,0.00779
1955-1960,30,5,0.00901
1955-1960,35,5,0.01031
1955-1960,40,5,0.01147
1955-1960,45,5,0.01255
1955-1960,50,5,0.01563
1955-1960,55,5,0.02120
1955-1960,60,5,0.03110
1955-1960,65,5,0.04740
1955-1960,70,5,0.07389
1955-1960,75,5,0.11204
1955-1960,80,5,0.17088
1955-1960,85,15,0.27126
1960-1965,0,1,0.13023
1960-1965,1,4,0.02687
1960-1965,5,5,0.00890
1960-1965,10,5,0.00475
1960-1965,15,5,0.00513
1960-1965,20,5,0.00599
1960-1965,25,5,0.00700
1960-1965,30,5,0.00807
1960-1965,35,5,0.00922
1960-1965,40,5,0.01036
1960-1965,45,5,0.01139
1960-1965,50,5,0.01433
1960-1965,55,5,0.01940
1960-1965,60,5,0.02858
1960-1965,65,5,0.04381
1960-1965,70,5,0.06852
1960-1965,75,5,0.10458
1960-1965,80,5,0.16053
1960-1965,85,15,0.25932
1965-1970,0,1,0.11574
1965-1970,1,4,0.02307
1965-1970,5,5,0.00770
1965-1970,10,5,0.00420
1965-1970,15,5,0.00462
1965-1970,20,5,0.00545
1965-1970,25,5,0.00634
1965-1970,30,5,0.00729
1965-1970,35,5,0.00833
1965-1970,40,5,0.00945
1965-1970,45,5,0.01043
1965-1970,50,5,0.01326
1965-1970,55,5,0.01788
1965-1970,60,5,0.02650
1965-1970,65,5,0.04092
1965-1970,70,5,0.06435
1965-1970,75,5,0.09904
1965-1970,80,5,0.15319
1965-1970,85,15,0.25142
1970-1975,0,1,0.11154
1970-1975,1,4,0.02166
1970-1975,5,5,0.00725
1970-1975,10,5,0.00399
1970-1975,15,5,0.00441
1970-1975,20,5,0.00523
1970-1975,25,5,0.00608
1970-1975,30,5,0.00699
1970-1975,35,5,0.00799
1970-1975,40,5,0.00910
1970-1975,45,5,0.01008
1970-1975,50,5,0.01288
1970-1975,55,5,0.01736
1970-1975,60,5,0.02579
1970-1975,65,5,0.03993
1970-1975,70,5,0.06295
1970-1975,75,5,0.09720
1970-1975,80,5,0.15080
1970-1975,85,15,0.24893
1975-1980,0,1,0.11055
1975-1980,1,4,0.02137
1975-1980,5,5,0.00716
1975-1980,10,5,0.00395
1975-1980,15,5,0.00437
1975-1980,20,5,0.00519
1975-1980,25,5,0.00603
1975-1980,30,5,0.00693
1975-1980,35,5,0.00792
1975-1980,40,5,0.00904
1975-1980,45,5,0.01001
1975-1980,50,5,0.01281
1975-1980,55,5,0.01726
1975-1980,60,5,0.02567
1975-1980,65,5,0.03975
1975-1980,70,5,0.06271
1975-1980,75,5,0.09687
1975-1980,80,5,0.15038
1975-1980,85,15,0.24849
1980-1985,0,1,0.11125
1980-1985,1,4,0.02114
1980-1985,5,5,0.00706
1980-1985,10,5,0.00390
1980-1985,15,5,0.00437
1980-1985,20,5,0.00530
1980-1985,25,5,0.00624
1980-1985,30,5,0.00713
1980-1985,35,5,0.00817
1980-1985,40,5,0.00924
1980-1985,45,5,0.01019
1980-1985,50,5,0.01293
1980-1985,55,5,0.01729
1980-1985,60,5,0.02558
1980-1985,65,5,0.03957
1980-1985,70,5,0.06245
1980-1985,75,5,0.09653
1980-1985,80,5,0.14994
1980-1985,85,15,0.24804
1985-1990,0,1,0.11375
1985-1990,1,4,0.02053
1985-1990,5,5,0.00675
1985-1990,10,5,0.00375
1985-1990,15,5,0.00434
1985-1990,20,5,0.00597
1985-1990,25,5,0.00807
1985-1990,30,5,0.00923
1985-1990,35,5,0.01080
1985-1990,40,5,0.01146
1985-1990,45,5,0.01227
1985-1990,50,5,0.01462
1985-1990,55,5,0.01843
1985-1990,60,5,0.02612
1985-1990,65,5,0.03955
1985-1990,70,5,0.06200
1985-1990,75,5,0.09541
1985-1990,80,5,0.14848
1985-1990,85,15,0.24652
1990-1995,0,1,0.10698
1990-1995,1,4,0.01837
1990-1995,5,5,0.00606
1990-1995,10,5,0.00331
1990-1995,15,5,0.00390
1990-1995,20,5,0.00611
1990-1995,25,5,0.01129
1990-1995,30,5,0.01445
1990-1995,35,5,0.01726
1990-1995,40,5,0.01701
1990-1995,45,5,0.01712
1990-1995,50,5,0.01881
1990-1995,55,5,0.02109
1990-1995,60,5,0.02748
1990-1995,65,5,0.03952
1990-1995,70,5,0.06071
1990-1995,75,5,0.09328
1990-1995,80,5,0.14343
1990-1995,85,15,0.24131
1995-2000,0,1,0.09512
1995-2000,1,4,0.01588
1995-2000,5,5,0.00548
1995-2000,10,5,0.00314
1995-2000,15,5,0.00346
1995-2000,20,5,0.00510
1995-2000,25,5,0.01105
1995-2000,30,5,0.01744
1995-2000,35,5,0.02249
1995-2000,40,5,0.02141
1995-2000,45,5,0.02052
1995-2000,50,5,0.02106
1995-2000,55,5,0.02219
1995-2000,60,5,0.02772
1995-2000,65,5,0.03873
1995-2000,70,5,0.05860
1995-2000,75,5,0.08988
1995-2000,80,5,0.13936
1995-2000,85,15,0.23716
2000-2005,0,1,0.07753
2000-2005,1,4,0.01198
2000-2005,5,5,0.00425
2000-2005,10,5,0.00274
2000-2005,15,5,0.00302
2000-2005,20,5,0.00403
2000-2005,25,5,0.00744
2000-2005,30,5,0.01284
2000-2005,35,5,0.01929
2000-2005,40,5,0.01947
2000-2005,45,5,0.01831
2000-2005,50,5,0.01822
2000-2005,55,5,0.01903
2000-2005,60,5,0.02419
2000-2005,65,5,0.03481
2000-2005,70,5,0.05343
2000-2005,75,5,0.08310
2000-2005,80,5,0.13117
2000-2005,85,15,0.22889
2005-2010,0,1,0.06653
2005-2010,1,4,0.00972
2005-2010,5,5,0.00343
2005-2010,10,5,0.00231
2005-2010,15,5,0.00273
2005-2010,20,5,0.00371
2005-2010,25,5,0.00579
2005-2010,30,5,0.00828
2005-2010,35,5,0.01265
2005-2010,40,5,0.01429
2005-2010,45,5,0.01411
2005-2010,50,5,0.01447
2005-2010,55,5,0.01574
2005-2010,60,5,0.02106
2005-2010,65,5,0.03136
2005-2010,70,5,0.04961
2005-2010,75,5,0.07848
2005-2010,80,5,0.12563
2005-2010,85,15,0.22342
2010-2015,0,1,0.05787
2010-2015,1,4,0.00829
2010-2015,5,5,0.00299
2010-2015,10,5,0.00197
2010-2015,15,5,0.00238
2010-2015,20,5,0.00339
2010-2015,25,5,0.00473
2010-2015,30,5,0.00587
2010-2015,35,5,0.00758
2010-2015,40,5,0.00877
2010-2015,45,5,0.00959
2010-2015,50,5,0.01116
2010-2015,55,5,0.01333
2010-2015,60,5,0.01893
2010-2015,65,5,0.02928
2010-2015,70,5,0.04718
2010-2015,75,5,0.07580
2010-2015,80,5,0.12288
2010-2015,85,15,0.22077
2015-2020,0,1,0.05155
2015-2020,1,4,0.00696
2015-2020,5,5,0.00254
2015-2020,10,5,0.00170
2015-2020,15,5,0.00213
2015-2020,20,5,0.00305
2015-2020,25,5,0.00433
2015-2020,30,5,0.00539
2015-2020,35,5,0.00683
2015-2020,40,5,0.00775
2015-2020,45,5,0.00854
2015-2020,50,5,0.01044
2015-2020,55,5,0.01271
2015-2020,60,5,0.01823
2015-2020,65,5,0.02826
2015-2020,70,5,0.04572
2015-2020,75,5,0.07375
2015-2020,80,5,0.12053
2015-2020,85,15,0.21851
2020-2025,0,1,0.04524
2020-2025,1,4,0.00567
2020-2025,5,5,0.00199
2020-2025,10,5,0.00141
2020-2025,15,5,0.00186
2020-2025,20,5,0.00270
2020-2025,25,5,0.00393
2020-2025,30,5,0.00506
2020-2025,35,5,0.00658
2020-2025,40,5,0.00750
2020-2025,45,5,0.00815
2020-2025,50,5,0.01005
2020-2025,55,5,0.01225
2020-2025,60,5,0.01750
2020-2025,65,5,0.02709
2020-2025,70,5,0.04384
2020-2025,75,5,0.07115
2020-2025,80,5,0.11702
2020-2025,85,15,0.21523
2025-2030,0,1,0.03957
2025-2030,1,4,0.00448
2025-2030,5,5,0.00158
2025-2030,10,5,0.00110
2025-2030,15,5,0.00158
2025-2030,20,5,0.00237
2025-2030,25,5,0.00344
2025-2030,30,5,0.00442
2025-2030,35,5,0.00587
2025-2030,40,5,0.00688
2025-2030,45,5,0.00755
2025-2030,50,5,0.00937
2025-2030,55,5,0.01151
2025-2030,60,5,0.01665
2025-2030,65,5,0.02590
2025-2030,70,5,0.04210
2025-2030,75,5,0.06870
2025-2030,80,5,0.11380
2025-2030,85,15,0.21226
2030-2035,0,1,0.03463
2030-2035,1,4,0.00348
2030-2035,5,5,0.00124
2030-2035,10,5,0.00090
2030-2035,15,5,0.00132
2030-2035,20,5,0.00204
2030-2035,25,5,0.00294
2030-2035,30,5,0.00374
2030-2035,35,5,0.00496
2030-2035,40,5,0.00603
2030-2035,45,5,0.00681
2030-2035,50,5,0.00865
2030-2035,55,5,0.01069
2030-2035,60,5,0.01569
2030-2035,65,5,0.02470
2030-2035,70,5,0.04038
2030-2035,75,5,0.06634
2030-2035,80,5,0.11083
2030-2035,85,15,0.20955
2035-2040,0,1,0.03094
2035-2040,1,4,0.00291
2035-2040,5,5,0.00104
2035-2040,10,5,0.00077
2035-2040,15,5,0.00116
2035-2040,20,5,0.00177
2035-2040,25,5,0.00251
2035-2040,30,5,0.00315
2035-2040,35,5,0.00413
2035-2040,40,5,0.00514
2035-2040,45,5,0.00600
2035-2040,50,5,0.00789
2035-2040,55,5,0.00987
2035-2040,60,5,0.01462
2035-2040,65,5,0.02324
2035-2040,70,5,0.03823
2035-2040,75,5,0.06348
2035-2040,80,5,0.10729
2035-2040,85,15,0.20582
2040-2045,0,1,0.02775
2040-2045,1,4,0.00245
2040-2045,5,5,0.00089
2040-2045,10,5,0.00068
2040-2045,15,5,0.00103
2040-2045,20,5,0.00156
2040-2045,25,5,0.00213
2040-2045,30,5,0.00263
2040-2045,35,5,0.00341
2040-2045,40,5,0.00436
2040-2045,45,5,0.00522
2040-2045,50,5,0.00712
2040-2045,55,5,0.00910
2040-2045,60,5,0.01364
