Period,Age (x),Age interval (n),"Central death rate m(x,n)"
1950-1955,0,1,0.19517
1950-1955,1,4,0.03652
1950-1955,5,5,0.01164
1950-1955,10,5,0.00588
1950-1955,15,5,0.00668
1950-1955,20,5,0.00945
1950-1955,25,5,0.01002
1950-1955,30,5,0.01071
1950-1955,35,5,0.01215
1950-1955,40,5,0.01468
1950-1955,45,5,0.01764
1950-1955,50,5,0.02217
1950-1955,55,5,0.02897
1950-1955,60,5,0.04032
1950-1955,65,5,0.05826
1950-1955,70,5,0.08988
1950-1955,75,5,0.13594
1950-1955,80,5,0.20623
1950-1955,85,15,0.32403
1955-1960,0,1,0.17452
1955-1960,1,4,0.03228
1955-1960,5,5,0.01039
1955-1960,10,5,0.00528
1955-1960,15,5,0.0061
1955-1960,20,5,0.00864
1955-1960,25,5,0.00915
1955-1960,30,5,0.00978
1955-1960,35,5,0.01106
1955-1960,40,5,0.01337
1955-1960,45,5,0.01609
1955-1960,50,5,0.02041
1955-1960,55,5,0.02668
1955-1960,60,5,0.0374
1955-1960,65,5,0.05429
1955-1960,70,5,0.08376
1955-1960,75,5,0.12712
1955-1960,80,5,0.19363
1955-1960,85,15,0.30869
1960-1965,0,1,0.15447
1960-1965,1,4,0.02817
1960-1965,5,5,0.00916
1960-1965,10,5,0.00469
1960-1965,15,5,0.00553
1960-1965,20,5,0.00784
1960-1965,25,5,0.0083
1960-1965,30,5,0.00887
1960-1965,35,5,0.01001
1960-1965,40,5,0.0121
1960-1965,45,5,0.01455
1960-1965,50,5,0.01865
1960-1965,55,5,0.02437
1960-1965,60,5,0.03446
1960-1965,65,5,0.05036
1960-1965,70,5,0.07775
1960-1965,75,5,0.11856
1960-1965,80,5,0.18148
1960-1965,85,15,0.29404
1965-1970,0,1,0.13648
1965-1970,1,4,0.02396
1965-1970,5,5,0.00794
1965-1970,10,5,0.00415
1965-1970,15,5,0.00503
1965-1970,20,5,0.00715
1965-1970,25,5,0.00755
1965-1970,30,5,0.00806
1965-1970,35,5,0.00908
1965-1970,40,5,0.01097
1965-1970,45,5,0.01323
1965-1970,50,5,0.01719
1965-1970,55,5,0.02246
1965-1970,60,5,0.03206
1965-1970,65,5,0.0472
1965-1970,70,5,0.07298
1965-1970,75,5,0.1119
1965-1970,80,5,0.17215
1965-1970,85,15,0.28304
1970-1975,0,1,0.13074
1970-1975,1,4,0.02245
1970-1975,5,5,0.00748
1970-1975,10,5,0.00393
1970-1975,15,5,0.00482
1970-1975,20,5,0.00687
1970-1975,25,5,0.00724
1970-1975,30,5,0.00773
1970-1975,35,5,0.00871
1970-1975,40,5,0.01053
1970-1975,45,5,0.01274
1970-1975,50,5,0.01662
1970-1975,55,5,0.02176
1970-1975,60,5,0.03118
1970-1975,65,5,0.04603
1970-1975,70,5,0.07124
1970-1975,75,5,0.10951
1970-1975,80,5,0.16884
1970-1975,85,15,0.27921
1975-1980,0,1,0.12962
1975-1980,1,4,0.0222
1975-1980,5,5,0.00741
1975-1980,10,5,0.0039
1975-1980,15,5,0.00479
1975-1980,20,5,0.00683
1975-1980,25,5,0.00721
1975-1980,30,5,0.0077
1975-1980,35,5,0.00868
1975-1980,40,5,0.01049
1975-1980,45,5,0.01268
1975-1980,50,5,0.01656
1975-1980,55,5,0.02167
1975-1980,60,5,0.03108
1975-1980,65,5,0.04589
1975-1980,70,5,0.07104
1975-1980,75,5,0.10923
1975-1980,80,5,0.16846
1975-1980,85,15,0.27878
1980-1985,0,1,0.13003
1980-1985,1,4,0.02197
1980-1985,5,5,0.00731
1980-1985,10,5,0.00385
1980-1985,15,5,0.00481
